date	amount	conversion_users	conversions
20200903	177500	5	5
20200904	382490	8	10
20200905	373590	11	13
20200906	2368590	17	18
20200907	1052300	28	32
20200908	442600	7	10
20200909	1335531	23	24
20200910	767940	16	18
20200911	1353630	35	36
20200912	688950	21	24
20200913	561320	10	11
20200914	373350	8	9
20200915	1869370	22	27
20200916	1885220	11	11
20200917	1865650	16	18
20200918	516850	13	14
20200919	596500	16	20
20200920	475100	12	12
20200921	499700	13	13
20200922	6784860	16	21
20200923	359600	13	14
20200924	816150	14	16
20200925	80400	5	6
20200926	252600	8	9
20200927	1199750	12	13
20200928	498110	7	8
20200929	210420	7	8
20200930	492190	16	18
20201001	487430	16	19
20201002	295700	10	13
20201003	337760	14	14
20201004	635520	19	19
20201005	787400	16	16
20201006	499370	13	13
20201007	866130	14	15
20201008	849200	14	15
20201009	238260	9	9
20201010	790130	16	19
20201011	4392420	26	26
20201012	884540	14	15
20201013	291590	8	9
20201014	578240	14	16
20201015	458910	12	13
20201016	282380	10	12
20201017	281850	10	12
20201018	108890	6	6
20201019	270870	10	10
20201020	255100	8	10
20201021	444640	13	15
20201022	288520	7	7
20201023	1709830	10	10
20201024	433530	12	14
20201025	363200	8	10
20201026	136150	5	5
20201027	415400	16	16
20201028	845920	17	19
20201029	205810	9	9
20201030	402750	10	11
20201031	408680	18	19
20201101	1659520	33	38
20201102	693160	17	19
20201103	379540	13	14
20201104	1329040	17	22
20201105	2306960	14	15
20201106	2093830	24	26
20201107	1602100	16	17
20201108	2179560	21	24
20201109	602440	13	14
20201110	2807510	19	23
20201111	9233530	88	125
20201112	678310	13	14
20201113	316810	9	12
20201114	462410	15	16
20201115	2375920	17	18
20201116	316420	10	12
20201117	210600	10	10
20201118	229880	5	6
20201119	163960	7	7
20201120	196200	6	7
20201121	395660	11	15
20201122	702690	14	16
20201123	599360	15	18
20201124	582600	17	20
20201125	840130	22	24
20201126	483900	13	17
20201127	1081000	9	9
20201128	889870	17	19
20201129	652500	16	18
20201130	736620	16	18
20201201	1047600	32	33
20201202	1011170	28	30
20201203	418810	14	15
20201204	421090	15	18
20201205	446300	13	13
20201206	410240	11	11
20201207	423550	14	15
20201208	405440	11	11
20201209	511770	15	16
20201210	334800	10	13
20201211	5434670	45	53
20201212	558800	15	17
20201213	1181560	22	25
20201214	538750	17	18
20201215	1398250	20	22
20201216	751820	27	31
20201217	600570	19	21
20201218	1132190	25	29
20201219	609940	20	24
20201220	319690	14	15
20201221	500950	12	13
20201222	1376910	22	22
20201223	2789491	20	20
20201224	1711571	16	21
20201225	685690	19	20
20201226	609730	12	15
20201227	6240463	16	19
20201228	748270	17	20
20201229	538560	17	20
20201230	257590	11	11
20201231	2405250	13	15
20210101	720460	22	24
20210102	679240	17	19
20210103	593960	16	16
20210104	513820	11	12
20210105	654540	11	12
20210106	614120	17	20
20210107	481300	15	16
20210108	323420	10	11
20210109	905800	17	20
20210110	399850	13	15
20210111	2057340	39	47
20210112	464910	9	11
20210113	433290	10	12
20210114	393970	10	11
20210115	1610250	6	7
20210116	209010	11	11
20210117	321440	10	12
20210118	580640	15	17
20210119	395000	11	13
20210120	356930	16	17
20210121	2823381	17	18
20210122	619800	12	13
20210123	319260	14	16
20210124	1379540	18	20
20210125	393300	15	15
20210126	345730	13	13
20210127	758110	19	24
20210128	662560	17	20
20210129	325270	8	8
20210130	272200	14	15
20210131	1288220	21	22
20210201	1808110	18	23
20210202	1416610	20	25
20210203	443320	10	11
20210204	455140	12	16
20210205	381730	9	9
20210206	224500	13	13
20210207	2594480	16	19
20210208	314360	15	17
20210209	495490	12	14
20210210	552980	14	15
20210211	931760	26	29
20210212	584900	14	14
20210213	688990	11	12
20210214	696960	17	23
20210215	477100	13	14
20210216	469090	14	17
20210217	545400	16	20
20210218	188230	8	10
20210219	171200	6	6
20210220	204900	9	9
20210221	443010	16	17
20210222	526950	17	18
20210223	335890	13	13
20210224	380420	10	11
20210225	866020	7	8
20210226	94200	2	3
20210227	304060	11	13
20210228	935600	15	20
20210301	3163860	31	37
20210302	693490	18	19
20210303	403200	14	16
20210304	1434100	11	12
20210305	1728770	16	18
20210306	242370	12	12
20210307	2066950	14	17
20210308	280490	7	7
20210309	508450	11	12
20210310	344810	16	17
20210311	2077680	30	37
20210312	371500	5	8
20210313	441460	9	11
20210314	260440	13	13
20210315	394420	11	13
20210316	507810	14	16
20210317	575160	15	17
20210318	361250	15	16
20210319	232290	13	13
20210320	437800	18	22
20210321	457720	14	14
20210322	390940	15	16
20210323	212230	9	10
20210324	692520	20	22
20210325	305420	7	7
20210326	350300	6	7
20210327	1206460	16	18
20210328	628290	15	20
20210329	416420	11	14
20210330	206060	9	9
20210331	420720	17	21
20210401	869590	15	20
20210402	885720	5	5
20210403	832900	15	18
20210404	427350	14	15
20210405	2018221	18	19
20210406	185320	14	14
20210407	583390	20	20
20210408	3899040	15	15
20210409	416200	9	11
20210410	352200	8	12
20210411	1354550	27	29
20210412	825020	16	18
20210413	762750	13	13
20210414	552280	17	19
20210415	1880691	14	17
20210416	198320	10	10
20210417	583340	14	17
20210418	393710	15	18
20210419	287220	9	11
20210420	142990	8	8
20210421	895870	23	28
20210422	472320	9	10
20210423	249000	7	8
20210424	362900	9	10
20210425	385820	10	10
20210426	366610	17	18
20210427	630570	17	17
20210428	617940	25	27
20210429	764550	16	22
20210430	383050	10	11
